Area,Year,1. Median,2. Median,3. Median,4. Median,5. Median,6. Median,7. Median,8. Median,9. Median,10. Median
TRC3 (Mardin Batman Şırnak Siirt),2015,2654.01,3795.98,4573.73,5293.52,6208.9,6819.35,7560.59,8696.24,11656.52,21219.14
TR Türkiye,2014,3619.09,5556.89,7131.71,8635.67,10237.93,12065.38,14280,17211.44,22357.46,36553.2
TR10 (İstanbul),2014,6029.2,8361.9,10115.26,11800,13664,15673.19,18180.73,21825.24,28408.28,47982.36
TR21 (Tekirdağ Edirne Kırklareli),2014,5872.65,7948.44,9533.33,10919.76,12670.3,14802.84,16249.01,18926.99,22628.1,33967.45
TR22 (Balıkesir Çanakkale),2014,4019.51,6139.68,8040,9484.51,10578.09,12057.62,14304.83,16989.99,21741.6,37146.93
TR31 (İzmir),2014,4437.16,6747.73,8578.65,10100,11985.43,14037.8,16618.97,20009.5,26836.11,43930.36
TR32 (Aydın Denizli Muğla),2014,5382.8,7173.44,8529.78,9945.06,11478.86,13109.13,15176.49,17449.62,22380.3,32836.47
TR33 (Manisa Afyon Kütahya Uşak),2014,5102.21,6791.8,7797.09,9000.24,10241.02,11761.9,13628.59,16612.41,21266.67,35825.36
TR41 (Bursa Eskişehir Bilecik),2014,5714.29,7952.38,9459.08,10629.46,12072.25,13855.08,15698.86,18844.63,23760.25,41478.73
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2014,4985.34,7050.97,8587.38,9923.3,11253.33,13000.2,15183.06,17747.83,21982.83,33100.48
TR51 (Ankara),2014,5637.69,8386.58,10160.71,12022.19,14106.63,16303.6,19453.42,23809.39,32130,50724.55
TR52 (Konya Karaman),2014,4057.14,6125.83,7358.81,8543.18,10173.71,11455.42,13299.64,16500,21726.67,34140.28
TR61 (Antalya Isparta Burdur),2014,4200,6629.6,8272.73,9666.49,11617.09,13639.41,16032.32,19267.44,24450.68,39745.88
TR62 (Adana Mersin),2014,3374.98,4785.75,5961.54,7166.83,8528.79,10460.34,12589.71,14945.55,19912.44,34252.38
TR63 (Hatay Kahramanmaraş Osmaniye),2014,3136.59,4256.57,5208.33,6118.7,7155.7,8407.69,10159.54,12408.06,16272.32,26142.3
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2014,4250,6005.19,7113.04,8116.33,9080.65,10314.93,11952.86,14044.67,17156.2,28585.79
TR72 (Kayseri Sivas Yozgat),2014,3827.8,5876.58,7277.09,8630.13,10132.38,11475.78,13443.21,16783.53,21810.16,31066.15
TR81 (Zonguldak Karabük Bartın),2014,6273.77,7998.88,9505.27,10978.79,12014.36,13759.29,15439.45,17772.95,23296.94,34455
TR82 (Kastamonu Çankırı Sinop),2014,4206.97,6545.14,7893.55,9037.89,10225.72,11440.62,13023.81,15834.18,18332.95,28073.18
TR83 (Samsun Tokat Çorum Amasya),2014,3576,5254.17,6482.15,7699.65,8703.14,9878.94,11633.61,14261.63,17315.61,28323.25
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2014,4507.2,7131.59,8552.38,10040,11389.28,12612,14315,16216.47,20261.9,32196.19
TRA1 (Erzurum Erzincan Bayburt),2014,2902.92,4251.68,5349.52,6382.23,7618.88,9457.29,10842.89,13977.79,18311.92,28966.64
TRA2 (Ağrı Kars Iğdır Ardahan),2014,2540.36,3549.44,4449.02,5199.85,6128.66,7164.92,8253.03,9708.66,12215.71,21647.11
TRB1 (Malatya Elazığ Bingöl Tunceli),2014,2922.63,4511.68,5520,6536.78,7662.13,9187.14,10638.82,12667.16,16089.16,25119.06
TRB2 (Van Muş Bitlis Hakkari),2014,2134.6,3413.16,4106.76,4801.49,5462.53,6183.03,7513.74,8966.28,11331.13,18968.36
TRC1 (Gaziantep Adıyaman Kilis),2014,3448.82,4746.95,5416.58,6258.33,7045.91,7965.38,9436.74,11289.48,14208.48,22295.65
TRC2 (Şanlıurfa Diyarbakır),2014,2166.67,3000,3661.89,4446.26,5083.16,5639.64,6598.97,8085.3,10798.46,17558.18
TRC3 (Mardin Batman Şırnak Siirt),2014,2504.16,3424.89,3894.14,4449.06,5050.74,6028.37,6933.49,7927.61,10347.11,17616.36
