Area,Year,1. Mean,2. Mean,3. Mean,4. Mean,5. Mean,6. Mean,7. Mean,8. Mean,9. Mean,10. Mean
TR32 (Aydın Denizli Muğla),2014,5258.6,7122.65,8520.1,9939.13,11457.3,13185.22,15097.38,17538.41,22690.81,38476.12
TR33 (Manisa Afyon Kütahya Uşak),2014,4951.86,6796.83,7832.99,9000.46,10331.31,11836.15,13650.35,16604.77,21622.65,41577.18
TR41 (Bursa Eskişehir Bilecik),2014,5422.66,7973.68,9465.43,10629.52,12103.36,13826.52,15871.26,19102.22,24146.6,48358.3
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2014,4840.32,7161.89,8645.88,9949.19,11293.93,12931.84,15037.02,17786.47,22356.85,37097.59
TR51 (Ankara),2014,5448.32,8243.5,10129.01,11997.06,14021.65,16321.4,19482.51,24228.1,32520.96,62078.09
TR52 (Konya Karaman),2014,3821.31,5990.58,7408.86,8556.77,10078.16,11530.31,13409.27,16659.67,21576.81,42298.38
TR61 (Antalya Isparta Burdur),2014,3969.68,6630.49,8305.83,9721.65,11679.25,13639.27,15962.55,19617.24,25067.97,47933.26
TR62 (Adana Mersin),2014,3264.85,4806.64,5984.21,7149.11,8495.91,10396.61,12574.45,15069.86,20332.51,37637.57
TR63 (Hatay Kahramanmaraş Osmaniye),2014,2888.85,4303.76,5214.2,6116.42,7141.39,8410,10133.97,12524.22,16547.71,30419.74
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2014,4097.87,5940.01,7116.04,8125.88,9185.61,10367.93,11979.34,14051.13,17665.34,33107.43
TR72 (Kayseri Sivas Yozgat),2014,3573.32,5881.04,7278.23,8632.49,10132.17,11509.74,13485.03,16796.74,22171.28,38901.12
TR81 (Zonguldak Karabük Bartın),2014,5847.13,7925.86,9393.4,10882.65,12157.15,13767.06,15319.02,18021.45,23142.14,38935.07
TR82 (Kastamonu Çankırı Sinop),2014,4010.19,6481.13,7757.63,8960.62,10136.23,11421.44,13177.59,15704.37,18718.4,32055.79
TR83 (Samsun Tokat Çorum Amasya),2014,3359.77,5275.23,6472.69,7638.92,8663.9,9808.05,11680.95,14302.49,17967.26,32817.49
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2014,4351.55,6988.86,8486.08,9963.05,11354.61,12656.85,14251.72,16236.5,20458.93,35061.86
TRA1 (Erzurum Erzincan Bayburt),2014,2864.07,4255.77,5384.56,6428.76,7763.04,9413.04,10867.08,13960.24,18530.1,37515.42
TRA2 (Ağrı Kars Iğdır Ardahan),2014,2428.6,3530.5,4451.43,5228.46,6197.98,7185.34,8236.57,9737.93,12437.61,25273.51
TRB1 (Malatya Elazığ Bingöl Tunceli),2014,2777.52,4468.17,5490.3,6523.18,7660.37,9102.88,10594.42,12819.55,16296.49,30067.93
TRB2 (Van Muş Bitlis Hakkari),2014,2171.33,3392.31,4096.91,4826.29,5500.5,6241.84,7415.98,8933.21,11602.92,24931.59
TRC1 (Gaziantep Adıyaman Kilis),2014,3345.19,4684.91,5453.65,6205.48,7068.66,8033.09,9498.76,11322.17,14203.34,25082.73
TRC2 (Şanlıurfa Diyarbakır),2014,2101.82,3004.18,3728.77,4411.24,5030.37,5698.45,6627.38,8066.17,10986.07,26245.11
TRC3 (Mardin Batman Şırnak Siirt),2014,2333.82,3379.45,3915.52,4456.11,5041.11,5997.68,6981.24,8044.49,10435.33,22089.25
